"id","category","module","method","path","sourceFunction","status","owner","implementation"
"EP-029","Team Management","team","GET","/api/v1/projects/{projectId}/team/roles","getProjectTeamRoles()","tested","team","internal/modules/team"
"EP-030","Team Management","team","POST","/api/v1/projects/{projectId}/team/invites","createProjectInvite()","tested","team","internal/modules/team"
"EP-031","Team Management","team","POST","/api/v1/projects/{projectId}/team/invites/batch","sendProjectInvites()","tested","team","internal/modules/team"
"EP-032","Team Management","team","DELETE","/api/v1/projects/{projectId}/team/invites/{email}","cancelProjectInvite()","tested","team","internal/modules/team"
"EP-033","Team Management","team","PUT","/api/v1/projects/{projectId}/team/members/{memberId}/permissions","updateProjectMemberPermissions()","tested","team","internal/modules/team"
"EP-034","Team Management","team","PUT","/api/v1/projects/{projectId}/team/roles/{role}/permissions","updateProjectRolePermissions()","tested","team","internal/modules/team"
"EP-035","Stories","stories","GET","/api/v1/projects/{projectId}/stories","getStories()","tested","stories","internal/modules/artifacts"
"EP-036","Stories","stories","POST","/api/v1/projects/{projectId}/stories","createStory()","tested","stories","internal/modules/artifacts"
"EP-037","Stories","stories","GET","/api/v1/projects/{projectId}/stories/{slug}","getStoryPageData()","tested","stories","internal/modules/artifacts"
"EP-038","Stories","stories","PUT","/api/v1/projects/{projectId}/stories/{storyId}","updateStory()","tested","stories","internal/modules/artifacts"
"EP-039","Journeys","journeys","GET","/api/v1/projects/{projectId}/journeys","getJourneys()","tested","journeys","internal/modules/artifacts"
"EP-040","Journeys","journeys","POST","/api/v1/projects/{projectId}/journeys","createJourney()","tested","journeys","internal/modules/artifacts"
"EP-041","Journeys","journeys","GET","/api/v1/projects/{projectId}/journeys/{slug}","getJourneyPageData()","tested","journeys","internal/modules/artifacts"
"EP-042","Journeys","journeys","PUT","/api/v1/projects/{projectId}/journeys/{journeyId}","updateJourney()","tested","journeys","internal/modules/artifacts"
"EP-043","Problem Statements","problems","GET","/api/v1/projects/{projectId}/problems","getProblems()","tested","problems","internal/modules/artifacts"
"EP-044","Problem Statements","problems","POST","/api/v1/projects/{projectId}/problems","createProblem()","tested","problems","internal/modules/artifacts"
"EP-045","Problem Statements","problems","GET","/api/v1/projects/{projectId}/problems/{slug}","getProblemPageData()","tested","problems","internal/modules/artifacts"
"EP-046","Problem Statements","problems","PUT","/api/v1/projects/{projectId}/problems/{problemId}","updateProblem()","tested","problems","internal/modules/artifacts"
"EP-047","Problem Statements","problems","POST","/api/v1/projects/{projectId}/problems/{problemId}/lock","lockProblem()","tested","problems","internal/modules/artifacts"
"EP-048","Problem Statements","problems","PUT","/api/v1/projects/{projectId}/problems/{problemId}/status","updateProblemStatus()","tested","problems","internal/modules/artifacts"
"EP-049","Ideas","ideas","GET","/api/v1/projects/{projectId}/ideas","getIdeas()","tested","ideas","internal/modules/artifacts"
"EP-050","Ideas","ideas","POST","/api/v1/projects/{projectId}/ideas","createIdea()","tested","ideas","internal/modules/artifacts"
"EP-051","Ideas","ideas","GET","/api/v1/projects/{projectId}/ideas/{slug}","getIdeaPageData()","tested","ideas","internal/modules/artifacts"
"EP-052","Ideas","ideas","PUT","/api/v1/projects/{projectId}/ideas/{ideaId}","updateIdea()","tested","ideas","internal/modules/artifacts"
"EP-053","Ideas","ideas","POST","/api/v1/projects/{projectId}/ideas/{ideaId}/select","selectIdea()","tested","ideas","internal/modules/artifacts"
"EP-054","Ideas","ideas","PUT","/api/v1/projects/{projectId}/ideas/{ideaId}/status","updateIdeaStatus()","tested","ideas","internal/modules/artifacts"
"EP-055","Tasks","tasks","GET","/api/v1/projects/{projectId}/tasks","getTasks()","tested","tasks","internal/modules/artifacts"
"EP-056","Tasks","tasks","POST","/api/v1/projects/{projectId}/tasks","createTask()","tested","tasks","internal/modules/artifacts"
"EP-057","Tasks","tasks","GET","/api/v1/projects/{projectId}/tasks/{slug}","getTaskPageData()","tested","tasks","internal/modules/artifacts"
"EP-058","Tasks","tasks","PUT","/api/v1/projects/{projectId}/tasks/{taskId}","updateTask()","tested","tasks","internal/modules/artifacts"
"EP-059","Tasks","tasks","PUT","/api/v1/projects/{projectId}/tasks/{taskId}/status","updateTaskStatus()","tested","tasks","internal/modules/artifacts"
"EP-060","Feedback","feedback","GET","/api/v1/projects/{projectId}/feedback","getFeedback()","tested","feedback","internal/modules/artifacts"
"EP-061","Feedback","feedback","POST","/api/v1/projects/{projectId}/feedback","createFeedback()","tested","feedback","internal/modules/artifacts"
"EP-062","Feedback","feedback","GET","/api/v1/projects/{projectId}/feedback/{slug}","getFeedbackPageData()","tested","feedback","internal/modules/artifacts"
"EP-063","Feedback","feedback","PUT","/api/v1/projects/{projectId}/feedback/{feedbackId}","updateFeedback()","tested","feedback","internal/modules/artifacts"
"EP-064","Resources","resources","GET","/api/v1/projects/{projectId}/resources","getResources()","tested","resources","internal/modules/resources"
"EP-065","Resources","resources","POST","/api/v1/projects/{projectId}/resources","createResource()","tested","resources","internal/modules/resources"
"EP-066","Resources","resources","GET","/api/v1/projects/{projectId}/resources/{resourceId}","getResourcePageData()","tested","resources","internal/modules/resources"
"EP-067","Resources","resources","PUT","/api/v1/projects/{projectId}/resources/{resourceId}","updateResource()","tested","resources","internal/modules/resources"
"EP-068","Resources","resources","PUT","/api/v1/projects/{projectId}/resources/{resourceId}/status","updateResourceStatus()","tested","resources","internal/modules/resources"
"EP-069","Pages","pages","GET","/api/v1/projects/{projectId}/pages","getPages()","tested","pages","internal/modules/pages"
"EP-070","Pages","pages","POST","/api/v1/projects/{projectId}/pages","createPage()","tested","pages","internal/modules/pages"
"EP-071","Pages","pages","GET","/api/v1/projects/{projectId}/pages/{slug}","getPageEditorData()","tested","pages","internal/modules/pages"
"EP-072","Pages","pages","PUT","/api/v1/projects/{projectId}/pages/{pageId}","updatePageEditor()","tested","pages","internal/modules/pages"
"EP-073","Pages","pages","PUT","/api/v1/projects/{projectId}/pages/{pageId}/rename","renamePage()","tested","pages","internal/modules/pages"
"EP-074","Calendar","calendar","GET","/api/v1/projects/{projectId}/calendar","getCalendarData()","tested","calendar","internal/modules/calendar"
"EP-075","Calendar","calendar","POST","/api/v1/projects/{projectId}/calendar","createCalendarEvent()","tested","calendar","internal/modules/calendar"
"EP-076","Calendar","calendar","GET","/api/v1/projects/{projectId}/calendar/{eventId}","getCalendarEventData()","tested","calendar","internal/modules/calendar"
"EP-077","Calendar","calendar","PUT","/api/v1/projects/{projectId}/calendar/{eventId}","updateCalendarEvent()","tested","calendar","internal/modules/calendar"
"EP-078","Calendar","calendar","DELETE","/api/v1/projects/{projectId}/calendar/{eventId}","deleteCalendarEvent()","tested","calendar","internal/modules/calendar"
"EP-082","Activity","activity","GET","/api/v1/projects/{projectId}/activity","getProjectActivity()","tested","activity","internal/modules/activity"
