http.StatusBadRequest | apperr.CodeBadRequest | "allDay is required"
http.StatusBadRequest | apperr.CodeBadRequest | "name must contain letters or numbers"
http.StatusBadRequest | apperr.CodeBadRequest | "owner is required"
http.StatusBadRequest | apperr.CodeBadRequest | "owner role cannot be assigned"
http.StatusBadRequest | apperr.CodeBadRequest | "owner role cannot be modified"
http.StatusBadRequest | apperr.CodeBadRequest | "pageId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "password does not satisfy policy"
http.StatusBadRequest | apperr.CodeBadRequest | "password is required"
http.StatusBadRequest | apperr.CodeBadRequest | "password must be at least 10 characters"
http.StatusBadRequest | apperr.CodeBadRequest | "password must include uppercase, lowercase, number, and special character"
http.StatusBadRequest | apperr.CodeBadRequest | "permission mask violates view dependency rule"
http.StatusBadRequest | apperr.CodeBadRequest | "permissionMask must match role mask when isCustom is false"
http.StatusBadRequest | apperr.CodeBadRequest | "problemId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "projectId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "projectName is required"
http.StatusBadRequest | apperr.CodeBadRequest | "projectStatus is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "refresh_token is required"
http.StatusBadRequest | apperr.CodeBadRequest | "reset token is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "resourceId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "role is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "role must match path role"
http.StatusBadRequest | apperr.CodeBadRequest | "role path parameter is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "role path parameter is required"
http.StatusBadRequest | apperr.CodeBadRequest | "slug is required"
http.StatusBadRequest | apperr.CodeBadRequest | "start must be a valid ISO date"
http.StatusBadRequest | apperr.CodeBadRequest | "startTime and endTime are required in HH:mm format when allDay is false"
http.StatusBadRequest | apperr.CodeBadRequest | "startTime must use HH:mm format"
http.StatusBadRequest | apperr.CodeBadRequest | "state payload is required"
http.StatusBadRequest | apperr.CodeBadRequest | "statement is required"
http.StatusBadRequest | apperr.CodeBadRequest | "story payload is required"
http.StatusBadRequest | apperr.CodeBadRequest | "storyId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "taskId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "theme is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "timeFormat is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "title is required"
http.StatusBadRequest | apperr.CodeBadRequest | "token is required"
http.StatusBadRequest | apperr.CodeBadRequest | "type is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "unsupported artifact type"
http.StatusBadRequest | apperr.CodeBadRequest | "verification token is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | message
http.StatusBadRequest | apperr.CodeBadRequest | msg
http.StatusBadRequest | apperr.CodeBadRequest | name+" must be an integer"
http.StatusBadRequest | apperr.CodeBadRequest | name+" must be non-negative"
http.StatusBadRequest | apperr.CodeBadRequest | paramName+" is required"
http.StatusBadRequest | codeAlreadyCancelled | "only pending invites can be cancelled"
http.StatusConflict | apperr.CodeConflict | "email already registered"
http.StatusConflict | apperr.CodeConflict | "project already archived"
http.StatusConflict | apperr.CodeConflict | "project settings conflict"
http.StatusConflict | apperr.CodeConflict | "project with this slug already exists"
http.StatusConflict | codeInviteExists | "pending invite already exists for this email"
http.StatusConflict | codeMemberExists | "user is already a project member"
http.StatusForbidden | apperr.CodeForbidden | "authentication state rejected"
http.StatusForbidden | apperr.CodeForbidden | "email verification is disabled"
http.StatusForbidden | apperr.CodeForbidden | "forbidden"
http.StatusForbidden | apperr.CodeForbidden | "not invite recipient"
http.StatusForbidden | apperr.CodeForbidden | "only Owner or Admin can delete project"
http.StatusForbidden | apperr.CodeForbidden | "origin not allowed"
http.StatusForbidden | apperr.CodeForbidden | "password reset is disabled"
http.StatusForbidden | apperr.CodeForbidden | "permission denied"
http.StatusForbidden | apperr.CodeForbidden | "project membership required"
http.StatusForbidden | apperr.CodeForbidden | "project scope mismatch"
http.StatusForbidden | apperr.CodeForbidden | "project scope required"
http.StatusForbidden | apperr.CodeForbidden | "signup disabled"
http.StatusGatewayTimeout | apperr.CodeTimeout | "request timed out"
http.StatusInternalServerError | apperr.CodeInternal | "artifact id missing"
http.StatusInternalServerError | apperr.CodeInternal | "authentication failed"
http.StatusInternalServerError | apperr.CodeInternal | "failed to allocate slug"
http.StatusInternalServerError | apperr.CodeInternal | "failed to encode activity payload"
http.StatusInternalServerError | apperr.CodeInternal | "failed to encode array payload"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process activity data"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process activity request"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process artifacts data"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process artifacts request"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process calendar data"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process calendar request"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process home data"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process pages data"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process pages request"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process project data"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process resources data"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process resources request"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process sidebar data"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process sidebar request"
http.StatusInternalServerError | apperr.CodeInternal | "failed to process team data"
http.StatusInternalServerError | apperr.CodeInternal | "failed to update user profile"
http.StatusInternalServerError | apperr.CodeInternal | "home operation failed"
http.StatusInternalServerError | apperr.CodeInternal | "internal server error"
http.StatusInternalServerError | apperr.CodeInternal | "invalid access token payload"
http.StatusInternalServerError | apperr.CodeInternal | "invalid artifact table"
http.StatusInternalServerError | apperr.CodeInternal | "member permission mask is invalid"
http.StatusInternalServerError | apperr.CodeInternal | "owner role mask unavailable"
http.StatusInternalServerError | apperr.CodeInternal | "permission mask unavailable"
http.StatusInternalServerError | apperr.CodeInternal | "permission resolution failed"
http.StatusInternalServerError | apperr.CodeInternal | "project operation failed"
http.StatusInternalServerError | apperr.CodeInternal | "role permission mask is invalid"
http.StatusInternalServerError | apperr.CodeInternal | "team operation failed"
http.StatusMethodNotAllowed | apperr.CodeMethodNotAllowed | "method not allowed"
http.StatusNotFound | apperr.CodeNotFound | "account not found"
http.StatusNotFound | apperr.CodeNotFound | "artifact not found"
http.StatusNotFound | apperr.CodeNotFound | "calendar event not found"
http.StatusNotFound | apperr.CodeNotFound | "feedback not found"
http.StatusNotFound | apperr.CodeNotFound | "idea not found"
http.StatusNotFound | apperr.CodeNotFound | "invite not found"
http.StatusNotFound | apperr.CodeNotFound | "journey not found"
http.StatusNotFound | apperr.CodeNotFound | "member not found"
http.StatusNotFound | apperr.CodeNotFound | "not found"
http.StatusNotFound | apperr.CodeNotFound | "page not found"
http.StatusNotFound | apperr.CodeNotFound | "problem not found"
http.StatusNotFound | apperr.CodeNotFound | "project not found"
http.StatusNotFound | apperr.CodeNotFound | "resource not found"
http.StatusNotFound | apperr.CodeNotFound | "story not found"
http.StatusNotFound | apperr.CodeNotFound | "task not found"
http.StatusNotFound | apperr.CodeNotFound | "user not found"
http.StatusNotFound | apperr.CodeNotFound | artifactType+" not found"
http.StatusNotFound | codeInviteNotFound | "pending invite not found"
http.StatusNotFound | codeRoleConfigMissing | "role permissions not configured for project"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "activity repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "artifacts repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "auth engine unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "auth repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "authentication unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "cache unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "calendar repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "email verification unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "home repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "home service unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "pages repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "password reset unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "permission resolver unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "project repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "project service unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "rate limiter unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "resources repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "sidebar dependencies unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "sidebar repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "signup unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "team repository unavailable"
http.StatusServiceUnavailable | apperr.CodeDependencyFailure | "team service unavailable"
http.StatusTooManyRequests | apperr.CodeTooManyRequests | "authentication temporarily limited"
http.StatusTooManyRequests | apperr.CodeTooManyRequests | "password reset temporarily limited"
http.StatusTooManyRequests | apperr.CodeTooManyRequests | "rate limit exceeded"
http.StatusTooManyRequests | apperr.CodeTooManyRequests | "signup temporarily limited"
http.StatusTooManyRequests | apperr.CodeTooManyRequests | "verification temporarily limited"
http.StatusUnauthorized | apperr.CodeUnauthorized | "authentication required"
http.StatusUnauthorized | apperr.CodeUnauthorized | invalidMessage
http.StatusUnsupportedMediaType | apperr.CodeUnsupportedMedia | "content type must be application/json"

